tipo_adm;origem;credor;divida;valor_contratado;saldo;correcao;juros;dt_inicio;dt_fim;prazo
adm_direta;Interna;UNIAO;BACEN - Assuncao Div. BERJ;3879682829;32477142529;IGP-DI;0,50%a.m.;35991;46949;30,02191781
adm_direta;Interna;UNIAO;BONUS/DMLP;14798828,72;101495304,1;DOLAR;1,125% (Libor+0,8125%) e 6%;35793;45397;26,31232877
adm_direta;Interna;UNIAO;Refin. Lei Federal 8.727/93 - CEHAB;468920166;9289939,23;TR(UPR/CEF);5,36% (tx media);36648;45261;23,59726027
adm_direta;Interna;UNIAO;Refin. Lei Federal 9.496/97;18536808272;73312241235;IGP-DI;0,04;36462;54724;50,03287671
adm_direta;Interna;UNIAO;Plano de Recuperacao Fiscal;0;33337130750;0;0;42983;46239;8,920547945
adm_direta;Interna;UNIAO;Plano de Auxilio aos Estados LC173/2020;0;0;0;0;43891;44196;0,835616438
adm_direta;Interna;CAIXA;SANEAMENTO I;558000000;141036711,9;TR(FGTS);0,06;40013;48292;22,68219178
adm_direta;Interna;CAIXA;SANEAMENTO II;415372249;57867157,56;TR(FGTS);0,06;41048;49359;22,76986301
adm_direta;Interna;CAIXA;PROCOI;1199871427;1184783819;IPCA;0,066;41268;48573;20,01369863
adm_direta;Interna;Sec_Rec_Federal;Parcelamento INSS - MP 2.187/01;63658789,71;0;TJLP;--;37342;45392;22,05479452
adm_direta;Interna;Sec_Rec_Federal;Parcelamento PASEP - MP 38/02;157012653,9;141311241,6;SELIC;--;37421;50860;36,81917808
adm_direta;Interna;Sec_Rec_Federal;Parcelamento Lei Federal 11.941/2009;1049698714;261165147,6;SELIC;--;40694;45595;13,42739726
adm_direta;Interna;Sec_Rec_Federal;Parcelamento INSS(PGFN) - MP 778/17;72576508,77;57224260,95;SELIC;--;42916;49003;16,67671233
adm_direta;Interna;Sec_Rec_Federal;Parcelamento INSS - MP 778/17;200134291,2;84145297,34;SELIC;--;42916;49003;16,67671233
adm_direta;Interna;Sec_Rec_Federal;Parcelamento PASEP - MP 783/17;501486430,4;353203725,2;SELIC;--;42947;48426;15,0109589
adm_direta;Interna;MUNICIPIOS;Parcelamento municipios;0;18208209,6;UFIR-RJ;--;41881;43676;4,917808219
adm_direta;Interna;MUNICIPIOS;Parcelamento municipios;0;83837749,93;UFIR-RJ;--;42369;44195;5,002739726
adm_direta;Interna;Banco_Brasil;PRO CIDADES;3645563000;5643882046;DOLAR;4,0025% (Libor sem. + 3,85%) + IR/s/prest.;41075;48380;20,01369863
adm_direta;Interna;Banco_Brasil;PRO INVESTE (FIN. BNDES);940956773,2;588655213,9;"SE TJLP<6%=0; SE TJLP>6%=TJLP/1,06";6,42% (TJLP ate 6% +1,1%);41258;48563;20,01369863
adm_direta;Interna;Banco_Brasil;PRO CIDADES II;3135800000;4726712400;DOLAR;4,017% (Libor sem. + 3,73%) + IR/s/prest.;41401;48708;20,01917808
adm_direta;Interna;BNDES;EXPANSAO DO METRO;305737280;13810804,37;"SE TJLP<6%=0; SE TJLP>6%=TJLP/1,06";7,32% (TJLP ate 6% +2%);39097;44484;14,75890411
adm_direta;Interna;BNDES;PROCOPA;400000000;185252752,9;"SE TJLP<6%=0; SE TJLP>6%=TJLP/1,06";7,22% (TJLP ate 6% +1,9%);40739;46249;15,09589041
adm_direta;Interna;BNDES;METRO LINHA 4 (ESTUDOS E PROJETOS);157954512,8;22508993,78;"SE TJLP<6%=0; SE TJLP>6%=TJLP/1,06";7,22% (TJLP ate 6% +1,9%);41044;44727;10,09041096
adm_direta;Interna;BNDES;PRO ML4;3031405000;2685753027;"SE TJLP<6%=0; SE TJLP>6%=TJLP/1,06";6,42% (TJLP ate 6% +1,1%);41409;52366;30,01917808
adm_direta;Interna;BNDES;PRO ML4 ADICIONAL (Subcredito C);2155320244;1924118684;"SE TJLP<6%=0; SE TJLP>6%=TJLP/1,06";6,42% (TJLP ate 6% +1,1%);41805;52427;29,10136986
adm_direta;Interna;BNDES;PRO ML4 ADICIONAL (Subcredito D);844679756,4;1176312891;SELIC;0,011;41805;52427;29,10136986
adm_direta;Interna;BNDES;PRO ML4 ADICIONAL II (Subcredito E);222405562;197483820,5;"SE TJLP<6%=0; SE TJLP>6%=TJLP/1,06";6,42% (TJLP ate 6% +1,1%);42444;52427;27,35068493
adm_direta;Interna;BNDES;PRO ML4 ADICIONAL II (Subcredito F);222405562;277762361,3;SELIC;0,011;42444;52427;27,35068493
adm_direta;Interna;Credit_Suisse;PRODES;600000000;673993268,4;IPC-A;0,1;42658;51058;23,01369863
adm_direta;Interna;Credit_Suisse;PROSUT;450000000;496627682,4;IPC-A;0,1008;42628;51028;23,01369863
adm_direta;Interna;PNB_Parribas;ANTECIPACAO PRIVATIZALCAO CEDAE - LEI 7.529/17;2900000000;4566380229;SubA: Dolar;SubA: Global 2021 +spread 3,5% a.a. SubB e C: 139,2% CDI (podendo ocorrer diminuicao);43070;44180;3,04109589
adm_direta;Externa;BID;PNB;322470000;116965317,2;DOLAR;4,59% (3,69% + spread vr);36369;45501;25,01917808
adm_direta;Externa;BID;PROFAZ;35000000;58610123,82;DOLAR;1,22% (Libor trimestral + spread vr);40283;47588;20,01369863
adm_direta;Externa;BID;PRODETUR;179188800;148863994,5;DOLAR;1,20% (Libor trimestral + spread vr);40709;49841;25,01917808
adm_direta;Externa;BID;PSAM;825270282;391903662,2;DOLAR;1,20% (Libor trimestral + spread vr);40892;50024;25,01917808
adm_direta;Externa;BID;INCLUSAO SOCIAL;133800000;75616779,76;DOLAR;1,16% (Libor trimestral + spread vr);41228;50359;25,01643836
adm_direta;Externa;BIRD;PET Adicional;72908000;22613360;DOLAR;4,54% e 3,27%;39588;44849;14,41369863
adm_direta;Externa;BIRD;PET- II;379302890;949513380,4;DOLAR;0,55% (Libor semestral + spread vr);40101;49049;24,51506849
adm_direta;Externa;BIRD;RIO RURAL;69057850;153471546,7;DOLAR;0,55% (Libor semestral + spread vr);40283;48502;22,51780822
adm_direta;Externa;BIRD;PRODESF / DPL I;851660000;1855498140;DOLAR;0,75% (Libor semestral + spread vr);40283;50875;29,01917808
adm_direta;Externa;BIRD;PRO-GESTAO I;32182915,5;32767035,34;DOLAR;0,72% (Libor semestral + spread vr);40497;47618;19,50958904
adm_direta;Externa;BIRD;PROHDUMS / DPL II;850544500;1933267540;DOLAR;0,92% (Libor semestral + spread vr);40678;51455;29,5260274
adm_direta;Externa;BIRD;PET - II Adicional;1223100000;1798279009;DOLAR;0,92% (Libor semestral + spread vr);41044;51820;29,52328767
adm_direta;Externa;BIRD;PRODESF II / DPL III;609690000;1426183500;DOLAR;0,93% (Libor semestral + spread vr);41136;49720;23,51780822
adm_direta;Externa;BIRD;RIO RURAL Adicional;235000000;246126460,7;DOLAR;0,93% (Libor semestral + spread vr);41320;49902;23,51232877
adm_direta;Externa;BIRD;PROMIT / DPL IV;1166650000;2569700000;DOLAR;0,93% (Libor semestral + spread vr);41409;50997;26,26849315
adm_direta;Externa;BIRD;PRO-GESTAO II;107328000;34343671,94;DOLAR;0,82% (Libor semestral + spread vr);41593;50724;25,01643836
